Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Shai Gilgeous-Alexander,26,OKC,PG,20,20,742,25.9,0.582,0.22,0.415,3.3,13.2,8.2,29,2.3,1.9,8.4,32.5,2.4,1.2,3.7,0.236,6,2.7,8.8,2,,gilgesh01
2,Tyrese Haliburton,24,IND,PG,20,20,708,20.6,0.585,0.493,0.202,1.1,17,9.5,39.5,1.9,1.9,13.1,23,1.6,0.8,2.4,0.162,4.1,0.9,5.1,1.3,,halibty01
3,Mikal Bridges,28,NYK,SF,18,18,706,12.2,0.518,0.319,0.061,3.2,10.2,6.6,11.7,2.1,2.4,12.3,19,0,0.7,0.7,0.045,-0.9,1.2,0.3,0.4,,bridgmi01
4,OG Anunoby,27,NYK,PF,18,18,705,13,0.539,0.49,0.235,3.9,9.9,6.8,5.1,2.6,3.1,9.9,18.7,0.3,0.8,1.1,0.077,-0.1,1.2,1,0.5,,anunoog01
5,Jalen Williams,23,OKC,SG,20,20,696,19,0.541,0.293,0.311,3.6,14.3,8.9,22.5,2,1.3,8.6,25.6,1.1,1.1,2.2,0.155,2.5,1.9,4.4,1.1,,willija06
6,Jalen Brunson,28,NYK,PG,18,18,680,22.2,0.582,0.341,0.359,2,8.7,5.3,34,0.6,0.7,10.8,32.6,2,0.3,2.3,0.163,5.7,-0.8,4.9,1.2,,brunsja01
7,Pascal Siakam,30,IND,PF,20,20,668,20.2,0.598,0.227,0.348,4.1,16.6,10.8,16.2,1.8,1.6,6,24.4,1.5,0.7,2.2,0.158,2.9,1,3.8,1,,siakapa01
8,Andrew Nembhard,25,IND,SG,20,20,665,12.9,0.581,0.384,0.177,2.1,9.1,5.8,19.6,2.3,0.7,14.1,16.6,0.6,0.5,1.2,0.085,-0.5,1.2,0.8,0.5,,nembhan01
9,Josh Hart,29,NYK,SG,18,14,642,15,0.599,0.375,0.465,7.8,21,14.2,17.7,1.6,1.6,16.8,14.1,1.1,0.7,1.8,0.138,1.1,2.3,3.4,0.9,,hartjo01
10,Karl-Anthony Towns,29,NYK,C,18,18,639,19,0.589,0.26,0.34,6.7,31.6,18.9,6.3,1,1.9,10.9,25,1,0.9,1.9,0.142,1.6,-0.2,1.4,0.5,,townska01
11,Myles Turner,28,IND,C,20,20,600,15.7,0.621,0.408,0.413,5.2,13,9.4,7,0.9,6.7,13.2,20.3,0.7,0.6,1.3,0.101,-0.1,1.1,1,0.5,,turnemy01
12,Chet Holmgren,22,OKC,C,20,20,596,19.2,0.582,0.355,0.38,6.2,25.8,15.9,5.4,1.2,5.9,7.8,21,1,1.2,2.2,0.18,1.7,1.8,3.5,0.8,,holmgch01
13,Anthony Edwards,23,MIN,SG,15,15,585,20.1,0.564,0.436,0.299,3.6,19.5,11.7,23.7,1.5,1.9,10.4,27.9,1.1,0.7,1.9,0.154,4.8,1.2,6,1.2,,edwaran01
14,Jamal Murray,27,DEN,PG,14,14,578,15.1,0.555,0.384,0.224,1.7,11,6.4,21.1,1.5,1.7,13.8,23.8,0.4,0.4,0.8,0.065,1.9,0.2,2.1,0.6,,murraja01
15,Luguentz Dort,25,OKC,SF,20,20,577,7.9,0.534,0.845,0.141,4.5,8.7,6.6,3.8,2,1.6,10.7,12.4,0.1,0.8,1,0.08,-2.4,1.4,-1,0.2,,dortlu01
16,Aaron Nesmith,25,IND,SF,20,20,570,14.7,0.645,0.568,0.174,5,18,11.9,5.5,1.4,2.4,8.5,17.4,0.9,0.6,1.5,0.126,1,0.7,1.7,0.5,,nesmiaa01
17,Nikola Jokić,29,DEN,C,14,14,563,24.6,0.587,0.265,0.377,5.7,28.6,17.3,35.6,2.5,1.9,15,28.2,1.3,0.8,2.1,0.18,6.9,3.8,10.7,1.8,,jokicni01
18,Christian Braun,23,DEN,SG,14,14,544,11.9,0.548,0.48,0.209,5.1,12.9,9,9.3,1.6,1.7,8,14,0.6,0.4,1,0.086,0.2,0.8,1,0.4,,braunch01
19,Julius Randle,30,MIN,PF,15,15,533,18.8,0.622,0.341,0.328,6,13.2,9.6,22.9,1.1,0.4,15.8,25.3,1.2,0.5,1.7,0.152,3.4,0.8,4.2,0.8,,randlju01
20,Aaron Gordon,29,DEN,PF,14,14,522,15.8,0.601,0.347,0.299,10.6,11.6,11.1,11.4,0.8,0.9,12.1,17.8,1,0.2,1.3,0.116,3.1,-0.9,2.2,0.5,,gordoaa01
21,Jaden McDaniels,24,MIN,PF,15,15,497,15.6,0.607,0.325,0.166,6.4,13.2,9.8,7.2,1.9,2.6,9,17.4,0.9,0.6,1.5,0.143,0.6,2,2.6,0.6,,mcdanja02
22,Alex Caruso,30,OKC,SG,20,0,478,16.7,0.636,0.579,0.279,3.2,9.2,6.1,13.5,3.8,2.1,9.8,15.4,1,0.9,1.9,0.195,1.4,5,6.4,1,,carusal01
23,Isaiah Hartenstein,26,OKC,C,20,17,461,17.2,0.623,0,0.153,12.2,23.8,17.9,13,1.7,2.2,15.3,14.4,0.9,0.9,1.8,0.185,0.3,2.4,2.8,0.6,,harteis01
